Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 0, 9, 10, 0.00, 222.686470032, 19.6086621284, 0
Boomer, Patrolling, 1, 9, 10, 0.00, 175.019418955, 94.1535539627, 0
Caprica, Patrolling, 2, 9, 10, 0.00, 163.644743919, 149.915973186, 0
Caval, Patrolling, 6, 9, 10, 0.00, 198.579487085, 189.125884056, 0
Anders, Patrolling, 0, 9, 20, 0.00, 374.28611207, 19.6086621284, 0
Boomer, Patrolling, 1, 9, 20, 0.00, 313.529937029, 94.1535539627, 0
Hera, Patrolling, 5, 9, 10, 0.00, 157.105345964, 267.010042906, 0
Leoben, Patrolling, 4, 9, 10, 0.00, 141.691620827, 325.380537033, 0
Caprica, Patrolling, 2, 9, 20, 0.00, 341.141826868, 149.915973186, 0
Caval, Patrolling, 6, 9, 20, 0.00, 331.845223904, 189.125884056, 0
Hera, Patrolling, 5, 9, 20, 0.00, 277.580921888, 267.010042906, 0
Anders, Patrolling, 0, 9, 30, 0.00, 525.896667004, 19.6086621284, 0
Leoben, Patrolling, 4, 9, 20, 0.00, 250.133373022, 325.380537033, 0
Boomer, Patrolling, 1, 9, 30, 0.00, 486.1157341, 94.1535539627, 0
Leoben, Patrolling, 4, 9, 30, 0.00, 293.738628864, 325.380537033, 0
Caprica, Patrolling, 2, 9, 30, 0.00, 508.470420837, 149.915973186, 0
Leoben, Patrolling, 4, 9, 40, 0.00, 343.159515858, 325.380537033, 0
Hera, Patrolling, 5, 9, 30, 0.00, 429.985616922, 267.010042906, 0
Anders, Patrolling, 0, 9, 40, 0.00, 686.617815971, 19.6086621284, 0
Caval, Patrolling, 6, 9, 30, 0.00, 522.200679064, 189.125884056, 0
Leoben, Patrolling, 4, 9, 50, 0.00, 392.119695902, 325.380537033, 0
Boomer, Patrolling, 1, 9, 40, 0.00, 641.135264158, 94.1535539627, 0
Leoben, Patrolling, 4, 9, 60, 0.00, 431.587618828, 325.380537033, 0
Caprica, Patrolling, 2, 9, 40, 0.00, 621.863749743, 149.915973186, 0
Leoben, Patrolling, 4, 9, 70, 0.00, 482.884204865, 325.380537033, 0
Leoben, Patrolling, 4, 9, 80, 0.00, 527.410566807, 325.380537033, 0
Hera, Patrolling, 5, 9, 40, 0.00, 592.735907078, 267.010042906, 0
Leoben, Patrolling, 4, 9, 90, 0.00, 575.491029739, 325.380537033, 0
Caval, Patrolling, 6, 9, 40, 0.00, 722.639365196, 189.125884056, 0
Boomer, Patrolling, 1, 9, 50, 0.00, 832.322093248, 94.1535539627, 0
Anders, Patrolling, 0, 9, 50, 0.00, 910.801539183, 19.6086621284, 0
Caprica, Patrolling, 2, 9, 50, 0.00, 791.885478735, 149.915973186, 0
Leoben, Patrolling, 4, 9, 100, 0.00, 619.937517881, 325.380537033, 0
Hera, Patrolling, 5, 9, 50, 0.00, 731.448814154, 267.010042906, 0
Caval, Patrolling, 6, 9, 50, 0.00, 867.796825171, 189.125884056, 0
Caprica, Patrolling, 2, 9, 60, 0.00, 908.470146656, 149.915973186, 0
Anders, Patrolling, 0, 9, 60, 0.00, 1053.44365621, 19.6086621284, 0
